secao,scenario_id,titulo,descricao,modo_alocacao,batalhoes_ativos,batalhao_metropolitano_escolhido,total_distance_km,average_distance_km,median_distance_km,p90_distance_km,max_distance_km,centralidade_operacional_km,compactacao_territorial_km,casos_fragmentados,municipios_redistribuidos,municipios_mantidos,ganho_total_vs_atual_km,ganhos_significativos,municipios_mal_alocados,distancias_criticas,percentual_manutencao_estrutura,municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo,chave,valor
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Horizonte,-4.120896,-38.470674,companhia,batalhao,Caucaia,Horizonte,Horizonte,Horizonte,61.0748,0.0,61.0748,sim,sim,Horizonte foi selecionado como novo polo metropolitano do cenário.,novo_batalhao_metropolitano,sede_batalhao,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Independência,-5.3963,-40.308586,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,331.1992,50.136,281.0632,sim,nao,Independência foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (50.1 km frente a 331.2 km) com ganho de 281.1 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Ipueiras,-4.541938,-40.718247,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,441.5953,87.4527,354.1426,sim,nao,Ipueiras foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (87.5 km frente a 441.6 km) com ganho de 354.1 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Itaitinga,-3.965768,-38.529763,pelotao,pelotao,Caucaia,Horizonte,Maracanaú,Horizonte,47.5178,23.5766,23.9412,sim,nao,Itaitinga foi redistribuído de Caucaia para Horizonte por menor distância rodoviária real (23.6 km frente a 47.5 km) com ganho de 23.9 km. Subordinação sugerida à companhia Horizonte (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,redistribuido,False,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Itapajé,-3.68444,-39.585194,pelotao,pelotao,Sobral,Itapipoca,Itapipoca,Itapipoca,103.7027,37.6831,66.0196,sim,nao,Itapajé foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (37.7 km frente a 103.7 km) com ganho de 66.0 km. Subordinação sugerida à companhia Itapipoca (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Itapipoca,-3.499333,-39.583645,cia_independente,batalhao,Sobral,Itapipoca,Itapipoca,Itapipoca,99.9409,0.0,99.9409,sim,sim,Itapipoca torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Itarema,-2.924804,-39.916417,pelotao,pelotao,Sobral,Itapipoca,Acaraú,Itapipoca,131.9089,87.4814,44.4275,sim,nao,Itarema foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (87.5 km frente a 131.9 km) com ganho de 44.4 km. Subordinação sugerida à companhia Itapipoca (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Mombaça,-5.738445,-39.63065,pelotao,pelotao,Juazeiro do Norte,Quixadá,Iguatu,Quixeramobim,240.0032,135.8129,104.1903,sim,nao,Mombaça foi redistribuído de Juazeiro do Norte para Quixadá por menor distância rodoviária real (135.8 km frente a 240.0 km) com ganho de 104.2 km. Subordinação sugerida à companhia Quixeramobim (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Nova Russas,-4.705687,-40.562136,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,419.6575,64.1869,355.4706,sim,nao,Nova Russas foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (64.2 km frente a 419.7 km) com ganho de 355.5 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Novo Oriente,-5.534036,-40.771316,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,313.2,44.3946,268.8054,sim,nao,Novo Oriente foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (44.4 km frente a 313.2 km) com ganho de 268.8 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
