municipio_origem,municipio_destino,destino_eh_batalhao_candidato,distance_km,duration_min
Amontada,Tabuleiro do Norte,False,364.1804,350.875
Amontada,Tamboril,False,224.5821,219.883333
Amontada,Tauá,False,415.6856,387.5
Amontada,Tianguá,False,170.4375,157.236667
Amontada,Trairi,False,83.4113,84.528333
Amontada,Ubajara,False,163.3609,158.618333
Amontada,Viçosa do Ceará,False,200.8228,179.095
Amontada,Várzea Alegre,False,523.4618,546.738333
Aquiraz,Acaraú,False,256.1614,245.441667
Aquiraz,Acopiara,False,344.3585,358.045
Aquiraz,Amontada,False,188.7912,183.156667
Aquiraz,Aquiraz,False,0.0,0.0
Aquiraz,Aracati,False,121.6167,113.208333
Aquiraz,Aracoiaba,False,94.8493,86.803333
Aquiraz,Aurora,False,452.0396,386.696667
Aquiraz,Barbalha,False,526.6546,434.938333
Aquiraz,Baturité,False,106.7784,99.453333
Aquiraz,Beberibe,False,55.4259,55.941667
Aquiraz,Bela Cruz,False,251.2928,242.731667
Aquiraz,Boa Viagem,False,241.9806,234.185
Aquiraz,Brejo Santo,False,506.3721,419.298333
Aquiraz,Camocim,False,374.6626,352.975
Aquiraz,Campos Sales,False,569.1123,493.74
Aquiraz,Canindé,False,140.2658,137.821667
Aquiraz,Caririaçu,False,488.0468,401.281667
Aquiraz,Cascavel,False,34.6882,36.345
Aquiraz,Caucaia,True,45.2468,48.805
Aquiraz,Cedro,False,411.3792,355.825
Aquiraz,Chorozinho,False,70.0317,72.293333
Aquiraz,Crateús,True,376.9165,352.183333
Aquiraz,Crato,False,526.6153,430.153333
Aquiraz,Cruz,False,264.8803,252.15
Aquiraz,Eusébio,True,8.9107,12.733333
Aquiraz,Forquilha,False,236.4038,215.226667
Aquiraz,Fortaleza,False,29.379,37.785
Aquiraz,Granja,False,348.1749,330.498333
Aquiraz,Guaiúba,False,50.1421,48.858333
Aquiraz,Guaraciaba do Norte,False,323.8468,323.231667
Aquiraz,Horizonte,True,35.7697,58.588333
Aquiraz,Ibiapina,False,325.9328,304.118333
Aquiraz,Icapuí,False,173.6858,158.013333
Aquiraz,Icó,False,367.9789,315.026667
Aquiraz,Iguatu,False,361.8993,363.163333
Aquiraz,Independência,False,327.1548,305.166667
Aquiraz,Ipu,False,318.0509,305.905
Aquiraz,Ipueiras,False,325.4603,312.333333
Aquiraz,Itaitinga,False,29.6947,35.56
Aquiraz,Itapajé,False,151.8253,142.065
Aquiraz,Itapipoca,True,158.0888,153.516667
Aquiraz,Itarema,False,231.712,227.316667
Aquiraz,Jaguaribe,False,299.0797,262.536667
Aquiraz,Jaguaruana,False,163.5395,150.141667
Aquiraz,Jardim,False,563.8076,469.648333
Aquiraz,Juazeiro do Norte,True,515.6419,421.735
Aquiraz,Lavras da Mangabeira,False,426.0029,357.96
Aquiraz,Limoeiro do Norte,False,184.6993,178.973333
Aquiraz,Maracanaú,False,34.1576,39.021667
Aquiraz,Maranguape,False,41.016,45.208333
Aquiraz,Marco,False,242.3335,232.955
Aquiraz,Massapê,False,275.3781,253.971667
Aquiraz,Mauriti,False,497.6014,415.696667
Aquiraz,Milagres,False,485.0382,403.521667
Aquiraz,Missão Velha,False,512.2081,425.938333
Aquiraz,Mombaça,False,304.8318,312.526667
Aquiraz,Morada Nova,False,166.5772,172.35
Aquiraz,Nova Russas,False,325.3617,313.371667
Aquiraz,Novo Oriente,False,418.8138,389.983333
Aquiraz,Ocara,False,102.4046,104.223333
Aquiraz,Pacajus,False,55.579,57.371667
Aquiraz,Pacatuba,False,42.3077,42.796667
Aquiraz,Paracuru,False,111.5233,111.865
Aquiraz,Paraipaba,False,115.9318,116.815
Aquiraz,Parambu,False,426.475,370.536667
Aquiraz,Pedra Branca,False,283.6411,280.806667
Aquiraz,Pentecoste,False,113.9905,112.645
Aquiraz,Quixadá,True,169.1788,166.788333
Aquiraz,Quixeramobim,False,212.086,211.09
Aquiraz,Redenção,False,76.8286,70.791667
Aquiraz,Russas,True,153.7238,147.866667
Aquiraz,Santa Quitéria,False,243.6312,236.87
Aquiraz,Santana do Acaraú,False,257.3768,247.181667
Aquiraz,Senador Pompeu,False,265.884,271.971667
Aquiraz,Sobral,True,254.0336,233.72
Aquiraz,São Benedito,False,340.5702,319.698333
Aquiraz,São Gonçalo do Amarante,False,83.5389,84.828333
Aquiraz,Tabuleiro do Norte,False,196.1454,189.956667
Aquiraz,Tamboril,False,309.2466,299.15
Aquiraz,Tauá,False,365.7453,325.08
Aquiraz,Tianguá,False,340.4001,310.905
Aquiraz,Trairi,False,147.7873,148.633333
Aquiraz,Ubajara,False,333.3235,312.286667
Aquiraz,Viçosa do Ceará,False,370.7854,332.763333
Aquiraz,Várzea Alegre,False,466.1038,392.721667
Aracati,Acaraú,False,374.5939,352.778333
Aracati,Acopiara,False,323.3472,311.786667
Aracati,Amontada,False,307.2236,290.493333
Aracati,Aquiraz,False,120.2493,111.583333
Aracati,Aracati,False,0.0,0.0
Aracati,Aracoiaba,False,138.8614,135.066667
Aracati,Aurora,False,369.7575,306.383333
Aracati,Barbalha,False,444.3725,354.625
Aracati,Baturité,False,150.7905,147.716667
Aracati,Beberibe,False,69.3958,62.321667
